In this lesson the *drop instruction* is disabled. You must use a *reset instruction* instead.,,In dieser Lektion ist die *Ablegen-Anweisung* deaktiviert. Nutze stattdessen die *Zurücksetzen-Anweisung*.,"Vous ne pourrez pas *abandonner les instructions* dans cette leçon, mais devez utiliser les *instructions de réinitialisation* à la place.",В данном уроке *команда сброса* недоступна. Вместо нее следует использовать *команду возврата*.,此课程中*发出指令*被禁用。你需要转而使用*重置指令*。,この●レッスンでは●、*ドロップ命令*は●無効化●されています●。代わりに●*リセット命令*を●使う●必要があります。,En esta lección la *Instrucción Soltar* está deshabilitada. Debes usar la *Instrucción Reinicio* en su lugar.,이번 강의에서 *놓기 명령*은 쓸 수 없습니다. *초기화 명령*을 대신 사용해야 합니다.,Bu derste *bırakma talimatı* devre dışı bırakılmıştır. Bunun yerine *sıfırlama talimatı* kullanmalısınız.,В цьому уроці *команда відпускання* недоступна. Замість неї ви повинні використати *команду повернення*.,"Nesta lição, a instrução *largar* está desativada. Utilize *reiniciar* ao invés disso.",V této lekci je *instrukce pustit* vyřazena. Místo ní musíte použít *instrukci reset*.,W tej lekcji *instrukcja upuszczania* jest wyłączona. Musisz w zamian użyć *instrukcji resetowania*.
Instrs,,Anw.,Instr.,Команды,指令,命令,Instrs,명령,Talmtlr,Команди,Instrs,Instrukce,Instruk.
Instruction errors must be fixed.,,Anweisungsfehler korrigieren,Les erreurs doivent être corrigées.,Исправьте ошибки в командах.,指令错误必须修正。,命令エラーは●必ず●修正します。,Los errores de instrucción deben ser corregidos.,명령 오류를 수정해야 합니다.,Talimat hataları düzeltilmelidir.,Виправте помилки в командах.,Erros nas instruções devem ser corrigidos.,Opravte chybu v instrukcích.,Błędy w instrukcjach muszą zostać naprawione.
Instructions,,Anweisungen,Instructions,Команды,指令,命令,Instrucciones,명령들,Talimatlar,Команди,Instruções,Instrukce,Instrukcje
Instructions tell a machine's parts what to do.,,"Anweisungen teilen Maschinenteilen mit, welche Aktionen sie ausführen sollen.",Les instructions indiquent à la machine la marche à suivre.,"Команды указывают частям машины, что нужно делать.",指令会告诉机器零件该做什么。,命令は●機械の●部品に●何を●すべきかを●伝えます。,Las instrucciones le dicen que hacer a las partes de la maquina. ,명령들은 각 기계 부품에게 할 일을 전달합니다.,Talimatlar bir makinenin parçalarına ne yapılacağını söyler.,"Команди вказують частинам машини, що треба робити.",Instruções comandam as ações das peças de uma máquina.,"Instrukce určují součástkám stroje, co mají dělat.","Instrukcje mówią częściom maszyny, co mają robić."
Invisible Ink,,Unsichtbare Tinte,Encre invisible,Невидимые чернила,隐形墨水,透明インク,Tinta Invisible,보이지 않는 잉크,Görünmez Mürekkep,Невидиме чорнило,Tinta Invisível,Neviditelný inkoust,Niewidzialny tusz
"Invisible Ink, Part A",,"Unsichtbare Tinte, Teil A","Encre invisible, partie A","Невидимые чернила, часть A",隐形墨水 A,透明インク、パートA,"Tinta Invisible, Parte A","보이지 않는 잉크, 부분 A","Görünmez Mürekkep, Bölüm A","Невидиме чорнило, складник А","Tinta Invisível, Parte A","Neviditelný inkoust, část A",Niewidzialny tusz - część A
"Invisible Ink, Part B",,"Unsichtbare Tinte, Teil B","Encre invisible, partie B","Невидимые чернила, часть B",隐形墨水 B,透明インク、パートB,"Tinta Invisible, Parte B","보이지 않는 잉크, 부분 B","Görünmez Mürekkep, Bölüm B","Невидиме чорнило, складник Б","Tinta Invisível, Parte B","Neviditelný inkoust, část B",Niewidzialny tusz - część B
Invitation,,Einladung,Invitation,Приглашение,邀请,招待,Invitación,초대장,Davetiye,Запрошення,Convite,Pozvání,Zaproszenie
Iron,,Eisen,Fer,Железо,铁,鉄,Hierro,철,Demir,Залізо,Ferro,Železo,Żelazo
Keyboard Layout,,Tastaturbelegung,Configuration du clavier,Раскладка клавиатуры,键盘布局,キーボードの●配置,Diseño del Teclado,키보드 배열,Klavye Düzeni,Розкладка клавіатури,Disposição do Teclado,Rozložení klávesnice,Układ klawiatury
Laboratory Burner Fuel,,Treibstoff für Laborbrenner,Combustible de laboratoire,Топливо для лаб. горелки,实验室喷灯的燃料,実験用●バーナー●燃料,Combustible para el Quemador del Laboratorio,연구실 화로 연료,Laboratuvar Brülör Yakıtı,Лабораторне пальне,Combustível para Maçarico de Laboratório,Palivo pro labor. kahan,Paliwo do palników laboratoryjnych
Language,,Sprache,Langue,Язык,语言,言語,Lenguaje,언어,Dil,Мова,Idioma,Jazyk,Język
Lead,,Blei,Plomb,Свинец,铅,鉛,Plomo,납,Kurşun,Свинець,Chumbo,Olovo,Ołów
Lesson: Arms,,Lektion: Arme,Leçon : bras,Урок: Манипуляторы,教学：机械臂,レッスン：アーム,Lección: Brazos,강의: 팔,Ders: Kollar,Урок: Маніпулятори,Lição: Braços,Lekce: manipulátory,Lekcja: Ramiona
Lesson: Bonding,,Lektion: Verbindung,Leçon : liens,Урок: Связи,教学：键合,レッスン：結合,Lección: Uniones,강의: 결합,Ders: Bağlar,Урок: Зв'язки,Lição: Ligações,Lekce: spojení,Lekcja: Łączenie
Lesson: Introduction,,Lektion: Einführung,Leçon : introduction,Урок: Введение,教学：介绍,レッスン：概要情報,Lección: Introducción,강의: 도입,Ders: Giriş,Урок: Вступ,Lição: Introdução,Lekce: úvod,Lekcja: Wprowadzenie
Lesson: Pistons,,Lektion: Hydraulik,Leçon : pistons,Урок: Выдвижные манипуляторы,教学：活塞,レッスン：ピストン,Lección: Pistones,강의: 피스톤,Ders: Pistonlar,Урок: Поршні,Lição: Pistões,Lekce: písty,Lekcja: Ramiona z tłokiem
Lesson: Pivots,,Lektion: Schwenkelemente,Leçon : pivots,Урок: Повороты,教学：枢轴,レッスン：ピボット,Lección: Ejes,강의: 축 회전,Ders: Pivotlar,Урок: Обертання,Lição: Eixos,Lekce: otáčení,Lekcja: Obracanie
Lesson: Tracks,,Lektion: Führungsschienen,Leçon : rails,Урок: Направляющие,教学：轨道,レッスン：トラック,Lección: Carriles,강의: 선로,Ders: Raylar,Урок: Доріжки,Lição: Trilhos,Lekce: dráhy,Lekcja: Tory
Lesson: Transmutation,,Lektion: Transmutation,Leçon : transmutation,Урок: Трансмутация,教学：嬗变,レッスン：変成,Lección: Transmutación,강의: 변성,Ders: Dönüşüm,Урок: Трансмутація,Lição: Transmutação,Lekce: transmutace,Lekcja: Transmutacje
Letter of Congratulation,,Glückwunschschreiben,Lettre de félicitations,Письмо-поздравление,贺信,祝い状,Carta de Felicitación,축하 편지,Tebrik Mektubu,Вітальний лист,Carta de Parabéns,Blahopřejný dopis,List gratulacyjny
Life in a Great House,,Leben in einem bedeutsamen Haus,La vie dans une maison noble,Жизнь в богатом доме,大家族里的生活,名家の●一員としての●人生,La Vida en una Gran Casa,귀족 가문에서의 삶,Büyük Bir Sarayda Yaşam,Життя Великого Дому,A Vida em uma Grande Casa,Život ve vznešeném domě,Życie w wielkim domu
Life-Sensing Potion,,Lebenserspürender Trank,Potion de détection vitale,Зелье звериного чутья,活物感应药水,生命感知の●薬,Poción de Detección de Vida,생명 탐지 물약,Yaşam Algılama İksiri,Зілля відчуття життя,Poção Acha-Vidas,Lektvar detekce života,Mikstura wykrywająca życie
Litharge,,Lithargit,Litharge,Окись свинца,一氧化铅,一酸化鉛,Litargirio,일산화납,Mürdesenk,Глет,Litargírio,Kysličník olovnatý,Glejta
Litharge Separation,,Lithargitseparierung,Décomposition du litharge,Выделение окиси свинца,一氧化铅分离,一酸化鉛の●分離,Separación de Litargirio,일산화납 분해,Mürdesenk Ayrımı,Розклад глету,Separação de Litargírio,Separace kysličníku olovnatého,Separacja glejty
"Luckily, spaces off the board count as empty spaces.",,Zum Glück zählt alles außerhalb der Tafel als freies Feld.,"Heureusement, les espaces hors du plateau comptent comme des espaces vides.","К счастью, ячейки за пределами поля считаются пустыми.",幸运的是，棋盘之外的格子也算作空白空间。,幸い、●ボード外の●スペースは●空きスペース●として●カウントされる。,"Afortunadamente, los espacios fuera del tablero cuentan como espacios vacíos.","다행히, 판 밖의 공간도 빈 칸으로 취급됩니다.","Neyse ki, tahtadaki boşluklar boş alanlar olarak sayılıyor.","На щастя, поля за краями дошки вважаються порожніми.","Felizmente, espaços fora do tabuleiro contam como espaços vazios.",Prostory mimo stůl jsou naštěstí považované za prázdné prostory.,"Na szczęście, pola poza planszą liczą się jako puste pola."
Matching Combinations,,Verbindungskombinationen,Associations,Парные сочетания,匹配组合,マッチする●組み合わせ,Combinaciones Posibles,맞는 조합,Eşleşen Kombinasyonlar,Відповідні поєднання,Combinações Equivalentes,Shodné kombinace,Pasujące kombinacje
Mechanisms,,Mechanismen,Mécanismes,Механизмы,机制,構造,Mecanismos,장치,Mekanizmalar,Механізми,Mecanismos,Mechanismy,Mechanizmy
Mechanisms and Glyphs,,Mechanismen und Glyphen,Mécanismes et glyphes,Механизмы и глифы,机制和符文,構造と●象形文字,Mecanismos y Glifos,장치와 문양,Mekanizmalar ve Glifler,Механізми і гліфи,Mecanismos e Glifos,Mechanismy a glyfy,Mechanizmy i glify
Menu,,Menü,Menu,Меню,菜单,メニュー,Menú,메뉴,Menü,Меню,Menu,Menu,Menu
Mist of Hallucination,,Dampf der Halluzination,Brouillard de l'illusion,Туман иллюзий,幻觉迷雾,幻覚の霧,Niebla de Alucinaciones,환영의 안개,Halüsinasyon Sisi,Туман марення,Névoa Alucinógena,Halucinogenní mlha,Mgła halucynacji
Mist of Incapacitation,,Dampf der Ohnmacht,Brouillard incapacitant,Туман паралича,失能迷雾,失神の霧,Niebla de Incapacitación,무력화의 안개,Acizlik Sisi,Туман знешкодження,Névoa Incapacitante,Mlha neschopnosti,Mgła obezwładniająca
